Code,Date,Fy,Indicator,Units,Values,BasinOrZone,Supplier,WatercourseOrGeographicArea,Region,Environment,SubBasinOrSubZone,SubBasinArea,SubBasinProportionOfBasin,Lat,Long,Notes,Wqo,Lor,Sf,Failure,Stat
SFC-T3,2024-12-10T00:00:01Z,2025,FRP,mg.L,0.013,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3040436555,146.862111222,NA,0.08,0.005,NA,high,median
SFC-T3,2024-12-10T00:00:01Z,2025,High_DO,%.Sat,83.8,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3040436555,146.862111222,NA,100,0.5,120,high,median
SFC-T3,2024-12-10T00:00:01Z,2025,Low_DO,%.Sat,83.8,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3040436555,146.862111222,NA,85,0.5,70,low,median
SFC-T3,2024-12-10T00:00:01Z,2025,TP,mg.L,0.08,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3040436555,146.862111222,NA,0.025,0.02,0.46,high,median
SFC-T3,2024-12-10T00:00:01Z,2025,Turbidity,NTU,52,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3040436555,146.862111222,NA,8,0.5,35,high,median
SFC-T3,2025-01-14T00:00:01Z,2025,DIN,mg.L,0.005,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3040436555,146.862111222,NA,0.02,0.005,0.38,high,median
SFC-T3,2025-01-14T00:00:01Z,2025,FRP,mg.L,0.18,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3040436555,146.862111222,NA,0.08,0.005,NA,high,median
SFC-T3,2025-01-14T00:00:01Z,2025,TP,mg.L,0.21,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3040436555,146.862111222,NA,0.025,0.02,0.46,high,median
SFC-T3,2025-01-14T00:00:01Z,2025,Turbidity,NTU,120,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3040436555,146.862111222,NA,8,0.5,35,high,median
SFC-T3,2025-06-24T00:00:01Z,2025,DIN,mg.L,0.052,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3040436555,146.862111222,NA,0.02,0.005,0.38,high,median
SFC-T3,2025-06-24T00:00:01Z,2025,FRP,mg.L,0.047,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3040436555,146.862111222,NA,0.08,0.005,NA,high,median
SFC-T3,2025-06-24T00:00:01Z,2025,High_DO,%.Sat,89.5,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3040436555,146.862111222,NA,100,0.5,120,high,median
SFC-T3,2025-06-24T00:00:01Z,2025,Low_DO,%.Sat,89.5,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3040436555,146.862111222,NA,85,0.5,70,low,median
SFC-T3,2025-06-24T00:00:01Z,2025,TP,mg.L,0.17,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3040436555,146.862111222,NA,0.025,0.02,0.46,high,median
SFC-T3,2025-06-24T00:00:01Z,2025,Turbidity,NTU,28,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3040436555,146.862111222,NA,8,0.5,35,high,median
WL-R1,2024-12-10T00:00:01Z,2025,DIN,mg.L,0.3025,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3192752615,146.853111221,NA,0.02,0.005,0.38,high,median
WL-R1,2024-12-10T00:00:01Z,2025,FRP,mg.L,0.026,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3192752615,146.853111221,NA,0.08,0.005,NA,high,median
WL-R1,2024-12-10T00:00:01Z,2025,High_DO,%.Sat,53.1,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3192752615,146.853111221,NA,100,0.5,120,high,median
WL-R1,2024-12-10T00:00:01Z,2025,Low_DO,%.Sat,53.1,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3192752615,146.853111221,NA,85,0.5,70,low,median
WL-R1,2024-12-10T00:00:01Z,2025,TP,mg.L,0.2,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3192752615,146.853111221,NA,0.025,0.02,0.46,high,median
WL-R1,2024-12-10T00:00:01Z,2025,Turbidity,NTU,24.5,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3192752615,146.853111221,NA,20,0.5,35,high,median
WL-R1,2025-01-14T00:00:01Z,2025,DIN,mg.L,0.055999999999999994,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3192752615,146.853111221,NA,0.02,0.005,0.38,high,median
WL-R1,2025-01-14T00:00:01Z,2025,FRP,mg.L,0.062,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3192752615,146.853111221,NA,0.08,0.005,NA,high,median
WL-R1,2025-01-14T00:00:01Z,2025,TP,mg.L,0.21,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3192752615,146.853111221,NA,0.025,0.02,0.46,high,median
WL-R1,2025-01-14T00:00:01Z,2025,Turbidity,NTU,3.3,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3192752615,146.853111221,NA,20,0.5,35,high,median
WL-R1,2025-04-29T00:00:01Z,2025,DIN,mg.L,0.14200000000000002,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3192752615,146.853111221,NA,0.02,0.005,0.38,high,median
WL-R1,2025-04-29T00:00:01Z,2025,FRP,mg.L,0.0025,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3192752615,146.853111221,NA,0.08,0.005,NA,high,median
WL-R1,2025-04-29T00:00:01Z,2025,High_DO,%.Sat,149.1,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3192752615,146.853111221,NA,100,0.5,120,high,median
